HR info ID,Preferred Term,ACRONYM,homepage,OrgTypeID - OrgTypePreferredTerm,FinancialTrackingService ID,Edit Status,IsReplacedBy,Notes
62666,Government of Ethiopia - Somali Regional State Education Bureau,SRSEB,,435 - Government,,,,
62660,Government of Ethiopia - Southern Agricultural Regional Institute,SARI,,435 - Government,,,,
60931,Government of Ethipoia - Relife Society of Tigray,REST,,435 - Government,,,,
50549,Government of Fiji,,,435 - Government,,,,
63019,Government of Fiji - Fiji Police Force,FPF,www.police.gov.fj,435 - Government,,,,
62032,"Government of Fiji - Ministry for Finance, Public Enterprises, Public Service & Communications",,,435 - Government,,,,
62031,"Government of Fiji - Ministry of Agriculture, Rural and Maritime Development and National Disaster Management",,http://www.agriculture.gov.fj,435 - Government,,,,
62040,"Government of Fiji - Ministry of Education, Heritage & Arts & National Archives of Fiji",,http://www.education.gov.fj,435 - Government,,,,
62036,"Government of Fiji - Ministry of Employment, Productivity and Industrial Relations",,http://www.labour.gov.fj,435 - Government,,,,
62038,Government of Fiji - Ministry of Fisheries and Forests,,,435 - Government,,,,
62037,Government of Fiji - Ministry of Foreign Affairs,,http://www.foreignaffairs.gov.fj,435 - Government,,,,
62030,Government of Fiji - Ministry of Health and Medical Services,,,435 - Government,,,,
62041,"Government of Fiji - Ministry of Immigration, National Security and Defence",,,435 - Government,,,,
62039,Government of Fiji - Ministry of Industry & Trade and Tourism,,,435 - Government,,,,
62035,"Government of Fiji - Ministry of Lands and Mineral Resources,Government",,http://www.lands.gov.fj,435 - Government,,,,
