HR info ID,Preferred Term,ACRONYM,homepage,OrgTypeID - OrgTypePreferredTerm,FinancialTrackingService ID,Edit Status,IsReplacedBy,Notes
17145,(at)Fire,,,443 - Other,,Deleted,56052,
56052,@fire International Disaster Response,@fire,http://www.at-fire.de/,437 - International NGO,,Edited,,Deleted 'Germany' from Preferred Term as its an International NGO
62590,3 Million Club,3MC,https://3millionclub.com/,433 - Donor,,No Change Made,,
62875,410 Bridge,410 Bridge,http://www.410bridge.org/,437 - International NGO,,No Change Made,,
62418,A Portée de Mains,APM,http://apm-asso.com/,441 - National NGO,,No Change Made,,
47796,A Self-help Assistance Programme,ASAP,http://www.asapafrica.org,441 - National NGO,,No Change Made,,
17146,A Single Drop for Safe Water,ASDSW,http://www.singledrop.org/,441 - National NGO,,No Change Made,,
62737,"A2D Project - Research Group for Alternatives to Development, Inc.",A2D,http://www.a2dproject.org/,441 - National NGO,,No Change Made,,
2077,Aamin Voluntary Relief Organization,AVRO,http://avroorg.com/,441 - National NGO,,No Change Made,,
50354,Association pour le Bien-être Collectif et l'Écologie,ABC Ecologie,http://abcecologie.e-monsite.com/,437 - International NGO,,Edited,,Added full title instead of ABC Ecologie and changed acronym from ABC to ABC Ecologie
61950,Abs Development for Women & Children,ADO,http://absyemen.org/,441 - National NGO,,Edited,,Added website
17147,Alto Broadcasting System – Chronicle Broadcasting Network Corporation,ABS-CBN,http://corporate.abs-cbn.com/,439 - Media,,Edited,,Added acronym and website and added full name in place of acronym 
61817,Acceptance International,AI,http://www.acceptance-international.org/,437 - International NGO,,No Change Made,,
2078,Access Aid and Development,AAD,http://www.access-aid.org/,441 - National NGO,,No Change Made,,
448,Access Aid International,AAI,http://www.aai.org.au/,437 - International NGO,16377,Edited,,Added website
62329,Accessibility Organization for Afghan Disabled,AOAD,www.aoad-af.org,441 - National NGO,,No Change Made,,
17148,Accord,,,437 - International NGO,,,,Is this meant to be http://www.accord.org.za/ or http://www.acordinternational.org/
49416,Agricultural Cooperative Development International and Volunteers in Overseas Cooperative Assistance,ACDI-VOCA,http://www.acdivoca.org/,437 - International NGO,,Edited,,replaced acronym with words
52517,ACK Development Services (Kenya),ADS-Nyanza,http://ads-nyanza.org/,441 - National NGO,,Edited,,Added Acronym
17149,ACT Alliance,ACT,http://www.actalliance.org/,437 - International NGO,,,,Can't find the meaning of the acronym
56434,Act for Peace,,http://www.actforpeace.org.au/,437 - International NGO,,No Change Made,,
2079,Action Africa Help-International,AAH-I,http://www.actionafricahelp.org/,437 - International NGO,,No Change Made,,
449,Action against Hunger,ACF,http://www.acf-international.org/,437 - International NGO,,Edited,,Added website - is this the correct one?
63045,Action Citoyenne Pour la Promotion et la Defense ds Droits Humains,ACPDDH,,441 - National NGO,,,,Should this be https://acpdh.wordpress.com/?
62988,Action Communautaire de Solidarité et d'Intervention (Haiti),ACSIS,,441 - National NGO,,No Change Made,,
50355,Action de Lutte contre la Pauvreté,ALCP,,437 - International NGO,,No Change Made,,
46559,Action de Partenariat pour le Développement Communautaire (Central African Republic),APDC,,441 - National NGO,,,,
62740,Action et Coopération pour le Développement (Tchad),ACODE,,441 - National NGO,,,,
47207,Action for Community Transformation Organization,ACT,,441 - National NGO,,,,
17150,Action for Health Initiative,ACHIEVE,,441 - National NGO,,,,
54594,Action for Humanitarian Development,AHD,,441 - National NGO,,,,
2080,Action for Relief and Development,ARD,http://www.actionrelief.net/,441 - National NGO,,,,
450,Action for Sustainable Change,AFOSC,,437 - International NGO,,,,
2081,Action for Youth & Environmental Development,AYED,,441 - National NGO,,,,
62094,Action Humanitaire et d'Appui au Développement Congo Brazza (Republic of Congo),AAREC,,441 - National NGO,,,,
49417,Action Mopti,,http://www.actionmopti.org/,441 - National NGO,,,,
17151,Action Pompiers Uzgence Inlana Vionus,,,443 - Other,,,,
62074,Action pour la Concertation et la Cohésion Economique et Sociale,ONG ACCES,http://www.ongacces.org,441 - National NGO,,,,
62558,"Action pour la SantÃ©, lâ€™Environnement et le  DÃ©vÃ©loppement",ASED,,441 - National NGO,,,,
46560,Action pour le Développement Intégral des Humains (Central African Republic),ADIH,,441 - National NGO,,,,
61554,Action pour un developpment durable,ONG-AKARASS,http://www.ongakarass.org/,441 - National NGO,,,,
50356,Action Promotion Developpement,APDEV,,437 - International NGO,,,,
49418,Action Recherches pour le Développement des initiatives Locales (Mali),ARDIL,,441 - National NGO,,,,
50484,Action Santé Organisation Secours,ASOS,,441 - National NGO,,,,
56756,ACTION SECOURS AMBULANCE,ASA,www.asambulance.org,441 - National NGO,,,,
62546,Action Sociale pour la Promotion des Laissés pour Compte,ASPLC,www.asplcasbl.org,441 - National NGO,,,,
62046,Action Society for Water Supply Environment and Development,ASWED,http://www.aswed.org/,441 - National NGO,,,,
62404,Action Technique pour un Developpement Communautaire,ATEDEC,http://www.atedec1.org/,437 - International NGO,,,,
60841,Action Works Nepal,AWON,http://www.actionworksnepal.com/,441 - National NGO,,,,
897,ActionAid,,http://www.actionaid.org/,437 - International NGO,,,,
62095,ActionAid International,,,437 - International NGO,,,,
62024,Actions et interventions pour le développement et encadrement social,AIDES,,441 - National NGO,,,,
2082,Active in Development Aid,ADA,http://adasom.org/,441 - National NGO,,,,
917,Active Learning Network for Accountability and Performance,ALNAP,http://www.alnap.org,438 - International Organization,6097,,,
17152,ACTS World Relief,ACTS,http://actswr.org/,437 - International NGO,,,,
62894,Adamawa Peace Makers Initiative (Nigeria),API,http://peacemakernigeria.org/,441 - National NGO,,,,
56670,Adara Development,ADARA,http://www.adaragroup.org/,437 - International NGO,,,,
63067,Addition for Disaster assistance & Development (Sudan),ADD,http://www.addorg.org/,441 - National NGO,,,,
53512,Aden Humanitarian Coordination Team,AHCT,,443 - Other,,,,
62096,ADES-Tchad (Chad),,,441 - National NGO,,,,
62897,Adeso (Kenya),Adeso,http://adesoafrica.org/,441 - National NGO,,,,
63121,Adopt-A-Camp (Nigeria),AAC,www.adoptacamp.org.ng,441 - National NGO,,,,
2083,Advancement for Small Enterprise Programme,ASEP,,441 - National NGO,,,,
17153,Adventist Community Service,,,443 - Other,,,,
1069,Adventist Development and Relief Agency,ADRA,http://www.adra.org/,446 - Religious,6579,,,
54595,"Advocacy, Research, Training and Services Foundation",ARTS,http://orgs.tigweb.org/advocacy-research-training-services-arts-foundation,441 - National NGO,,,,
62374,Advocates Coalition for Rights and Development,ADCORD,http://adcord.org/,441 - National NGO,,,,
49419,AECOM International Development,,http://aecom.com,438 - International Organization,,,,
47208,Afghan Community Development Organization,ACDO,http://www.areu.org.af/AtoZListingDetails.aspx?,441 - National NGO,,,,
62321,Afghan Community Research & Empowerment Organization for  Development,ACREOD,,441 - National NGO,,,,
62092,Afghan Development Association,ADA,www.ada.org.af,441 - National NGO,,,,
62322,Afghan Disabled and Vulnerable Society,ADVS,,441 - National NGO,,,,
62091,Afghan Family Guidance Association,AFGA,,441 - National NGO,,,,
47209,Afghan Geodesy and Cartography Head Office,AGCHO,http://agcho.gov.af/fa,435 - Government,,,,
62088,Afghan Health & Development Services,ADHS,,441 - National NGO,,,,
62090,Afghan Institute of Learning,AIL,,441 - National NGO,,,,
62324,Afghan Institute of Training and Management,AITM,,441 - National NGO,,,,
62326,Afghan Landmine Survivors Organization,ALSO,http://www.afghanlandminesurvivors.org/,441 - National NGO,,,,
62327,Afghan Meteorological Authority,AMA,,435 - Government,,,,
47210,Afghan Midwives Association,AMA,http://afghanmidwives.org/,441 - National NGO,,,,
62328,Afghan National Association for Adult Education,ANAFAE,http://anafae.af/,441 - National NGO,,,,
62097,Afghan NGO Coordination Bureau,ANCB,,441 - National NGO,,,,
62352,Afghan Planning Agency,APA,,441 - National NGO,,,,
61325,Afghan Reconstruction Trust Fund,ARTF,http://www.artf.af/,438 - International Organization,,,,
47211,Afghan Red Crescent Society,ARCS,,445 - Red Cross / Red Crescent,,,,
62528,Afghan Street Working Children and New Approach,ASCHIANA,,441 - National NGO,,,,
62333,Afghan Women Council,,AWC,441 - National NGO,,,,
62336,Afghan Women Services and Education Organization,AWSE,,441 - National NGO,,,,
62337,Afghan Women Services and Education Organization,AWSE,,441 - National NGO,,,,
62334,Afghan Women's Educational Center,AWEC,,441 - National NGO,,,,
47212,Afghan Women's Network,AWN,,441 - National NGO,,,,
62335,Afghan Women's Resource Centre,AWRC,,441 - National NGO,,,,
47213,Afghanaid,Afghanaid,http://www.afghanaid.org.uk/,437 - International NGO,,,,
62314,Afghanistan Analysts Network,AAN,https://www.afghanistan-analysts.org/,431 - Academic / Research,,,,
62320,Afghanistan Center at Kabul University,ACKU,http://acku.edu.af/,431 - Academic / Research,,,,
47214,Afghanistan Center for Training and Development,ACTD,http://www.actd.org.af/,441 - National NGO,,,,
62669,Afghanistan Development and Education Organization (Afghanistan),ADEO,http://www.adeo.org.af/,441 - National NGO,,,,
47215,Afghanistan Human Rights and Democracy Organization,AHRDO,http://ahrdo.org/,441 - National NGO,,,,
62098,Afghanistan Independent Human Rights Commission,AIHRC,www.aihrc.org.af,435 - Government,,,,
47216,Afghanistan Information Management Services,AIMS,http://www.aims.org.af/,441 - National NGO,,,,
61974,Afghanistan National Re-Construction Coordination,ANCC,http://ancc-afg.org/,441 - National NGO,,,,
61326,Afghanistan New Beginnings Program,ANBP,http://www.anbp.af.undp.org/homepage/,438 - International Organization,,,,
47217,Afghanistan Public Policy Research Organization,APPRO,http://appro.org.af/,441 - National NGO,,,,
62377,Afghanistan Reconstruction & Planning Department,ARPD,http://www.arpd-af.org/,441 - National NGO,,,,
62353,Afghanistan Relief Committee,ARC,,441 - National NGO,,,,
47218,Afghanistan Rescue Services,ARS,,437 - International NGO,,,,
47219,Afghanistan Research and Evaluation Unit,AREU,http://www.areu.org.af/,441 - National NGO,,,,
61327,Africa Climate Change Resilience Alliance,ACCRA,community.eldis.org/accra/,438 - International Organization,,,,
62569,Africa Cooperative Action Trust,ACAT,http://www.acat.org.sz/,446 - Religious,,,,
2084,Africa Educational Trust,AET,http://www.africaeducationaltrust.org,437 - International NGO,,,,
53116,Africa Medical and Research Foundation,AMREF,,437 - International NGO,,,,
49420,Africa Welfare Women Committee,AWECO,,437 - International NGO,,,,
46561,Africa Without Borders,AWB,,441 - National NGO,,,,
53117,African Centre for Constructive Resolution of Disputes,ACCORD,,437 - International NGO,,,,
50357,African Centre of Meteorological Application for Development,ACMAD,http://acmad.net,431 - Academic / Research,,,,
61328,African Commission on Human and People's Rights,ACHPR,http://www.achpr.org/,438 - International Organization,,,,
49421,African Development Bank Group,AFDB,http://www.afdb.org,438 - International Organization,,,,
2085,African Development Solutions,ADESO,http://adesoafrica.org/,437 - International NGO,,,,
52518,African Development Trust,ADT,http://africandt.org/,437 - International NGO,,,,
52519,African Great Lakes Initiative,AGLIFPT,http://aglifpt.org,437 - International NGO,,,,
62395,African Humanitarian Action,AHA,,437 - International NGO,,,,
62887,African Humanitarian Action,AHA,,441 - National NGO,,,,
46562,African Humanitarian Agency,AHA,http://www.aha-africa.org,437 - International NGO,,,,
62099,African Initiative for Relief & Development,AIRD,,437 - International NGO,,,,
62690,African Leadership Centre,ALC,http://www.africanleadershipcentre.org/,431 - Academic / Research,,,,
61329,African Ministers' Council on Water,AMCOW,http://www.amcow-online.org/index.php?lang=en,438 - International Organization,,,,
61330,African Network for the Prevention and Protection against Child Abuse and Neglect,ANPPCAN,http://www.anppcan.org/,438 - International Organization,,,,
62516,African Program for the Economic and Social Development,PADES,http://www.pades.org/en/,437 - International NGO,,,,
46563,African Regional Spatial Data Infrastructure,ARSDI,,441 - National NGO,,,,
61331,African Revival Ministries,ARM,http://africanrevivalministries.com/,438 - International Organization,,,,
61332,African Risk Capacity,ARC,http://www.africanriskcapacity.org/,438 - International Organization,,,,
2086,African Rural Advancement Organization,ARAO,,441 - National NGO,,,,
46564,African Union,AU,,438 - International Organization,,,,
62826,African Union Mission in Somalia,AMISOM,http://amisom-au.org/,437 - International NGO,,,,
61333,"African, Caribbean and Pacific Group of States",ACP,http://www.acp.int/node,438 - International Organization,,,,
49422,Africare,AFRICARE,http://africare.org,437 - International NGO,,,,
62309,Afrique jeunes 2020,AFJ-2020,,438 - International Organization,,,,
61609,Afrique Secours et Assistance,ASA,http://www.asa-ci.org/,437 - International NGO,,,,
61579,Afrique Solidarité - Suisse,ASOL,http://www.afrique-solidarite-suisse.org,437 - International NGO,,,,
49423,Afrique Verte,,http://www.afriqueverte.org,441 - National NGO,,,,
53118,Afro-Canadian Evangelical Mission,ACEM,,438 - International Organization,,,,
2087,Afrocare Development Foundation,ADF,,441 - National NGO,,,,
47220,Aga Khan Development Network,AKDN,http://www.akdn.org,437 - International NGO,,,,
62089,Aga Khan Foundation,AKF,,437 - International NGO,,,,
56471,"Aga Khan Planning and Building Services,Pakistan",,www.akdn.org/akpbsp_pakistan.asp,437 - International NGO,,,,
54596,Aga Khan University,,,431 - Academic / Research,,,,
62562,Agence d'Achat des Performances,AAP,,441 - National NGO,,,,
49424,Agence des Musulmans d'Afrique,AMA,,437 - International NGO,,,,
62701,Agence Française De Coopération Médias,CFI,http://www.cfi.fr/,438 - International Organization,,,,
61808,Agence Française de Développement,AFD,www.afd.fr,433 - Donor,,,,
49425,Agence pour le  Développement du Nord (Mali),APDN,http://www.apdn.ma,441 - National NGO,,,,
61952,Agency Coordinating Body for Afghan Relief,ACBAR,,441 - National NGO,,,,
47221,Agency for Assistance and Development of Afghanistan,AADA,http://www.aada.org.af,441 - National NGO,,,,
61334,Agency for Co-operation & Research in Development,ACORD,http://www.acordinternational.org/,438 - International Organization,,,,
62535,Agency for Humanitarian Development Assistance for  Afghanistan,AHDAA,,441 - National NGO,,,,
2088,Agency for Peace and Development,APD,http://apd.or.ke/,441 - National NGO,,,,
61975,Agency for rehabilitation and Energy conservation in  Afghanistan,AREA,http://www.area-af.org/,441 - National NGO,,,,
451,Agency for Technical Cooperation and Development,ACTED,,437 - International NGO,6458,,,
61636,Agency for voluntary initiatives in development (AVID),AVID,http://www.avidev.org/,441 - National NGO,,,,
61335,Agrhymet,Agrhymet,http://www.agrhymet.ne/eng/,438 - International Organization,,,,
17154,Agri-Aqua Development Coalition,AADC,,441 - National NGO,,,,
62728,Agro-Pastoral Charity Organization (Somalia),APCO,http://www.agropastoral.org/,441 - National NGO,,,,
50387,Agroaction Tchad,,,441 - National NGO,,,,
2089,Agrocare,,http://www.agrocare.org,437 - International NGO,,,,
50485,Agronomes et Vétérinaires Sans Frontières,AVSF,http://www.avsf.org/,437 - International NGO,,,,
2090,Agrosphere,,http://www.agrosphere.org/,437 - International NGO,,,,
54828,"Agusan Development Foundation, Inc./ Kindernothilfe/HEED",ADFI,,441 - National NGO,,,,
17155,AHA Centre,,http://www.ahacentre.org/,443 - Other,,,,
54744,Ahlul Bay't Center for Islamic Mission,ABCIM,,441 - National NGO,,,,
62524,Ahsanullah University of Science and Technology,AUST,http://www.aust.edu/index.htm,431 - Academic / Research,,,,
56627,Aid.Works,AW,www.aid.works,439 - Media,,,,
48573,Aide et action,,http://www.aide-et-action.org/,437 - International NGO,,,,
52520,Aiming Change for Tomorrow,ACT,http://www.act-intl.org,437 - International NGO,,,,
56778,AirPutih,AP,http://www.airputih.or.id,441 - National NGO,,,,
61942,Ajyal Association for Rehabilitation and Social Development,ASHSD,,441 - National NGO,,,,
56808,Akasha Academy NGO,Akasha Academy,http://www.akasha-academy.org/,437 - International NGO,,,,
56669,AKUT Arama Kurtarma Dernegi / AKUT Search and Rescue,AKUT,http://www.akut.org.tr/en,441 - National NGO,,,,
63079,Al Amal Humanitarian Organization,UMIT,http://www.alamal.org/,441 - National NGO,,,,
62975,Al Basar Humanitarian Organization (Turkey),Al-Basar,,441 - National NGO,,,,
62499,Al Ihsan Charity Association (United Arab Emirates),,http://www.alihsan.ae/,441 - National NGO,,,,
62100,Al Ihsan Foundation (United States of America),,,441 - National NGO,,,,
17156,Al Imdaad Foundation,,,437 - International NGO,,,,
62631,Al Khair Charitable Association,Al Khair,,441 - National NGO,,,,
62101,Al Najat Charity Society,,,433 - Donor,,,,
62710,Al Resala Foundation,RF,http://www.resala.org/,437 - International NGO,,,,
62362,Al-Amal Microfinance Bank,AMB,http://www.alamalbank.com/,443 - Other,,,,
62517,Al-ehya'a Scientific Association,ASA,,441 - National NGO,,,,
62103,Al-Eslah Society (Bahrain),,,441 - National NGO,,,,
17157,Al-Khair Foundation,AlKhair,http://welcome.alkhair.org/,446 - Religious,,,,
54597,Al-Khidmat Foundation,,,441 - National NGO,,,,
62638,Al-Mahaba wel Salam (Iraq),AMWS,,441 - National NGO,,,,
61936,Al-Manal Association For Social Developments,AASD,,444 - Private sector,,,,
62005,Al-Massar Charity Organization for Nomads Development & Environmental Conservation,almassar,http://almassar.org/,441 - National NGO,,,,
61843,Al-Messalla,Al-Messalla,,441 - National NGO,,,,
62108,Al-Muntada Al-Islami Trust (United Kingdom),,,441 - National NGO,,,,
62102,Alamine Foundation for Development (Morocco),,,441 - National NGO,,,,
54812,"Alay sa Kapatid Foundation, Inc.",,,441 - National NGO,,,,
62589,Albadael Economic Foundation,BEF,http://badaeleco.org/,443 - Other,,,,
47810,Alban Organization for Development and Rehabilitation,AODR,,443 - Other,,,,
60817,Albergue de emergencia y elementos no alimentarios,,,443 - Other,,,,
61623,Aldar Al-Muhmadiyah Al-Hamdaniyah  For Studies &  Researches,AL-HAMDANI CULTURAL INSTITUTION,http://dmhsr.blogspot.com/,431 - Academic / Research,,,,
62895,Aldef Voluntary Service to Humanity (Kenya),AVSH,http://www.aldefkenya.org/,441 - National NGO,,,,
61963,Ali Associates Chartered Accountants,,,444 - Private sector,,,,
62104,Alianza ONG,,,441 - National NGO,,,,
54840,Alianza por la Solidaridad,APS,,437 - International NGO,,,,
17158,Alivio em Desastres Brasil,,,437 - International NGO,,,,
62325,Aljazeera,,,439 - Media,,,,
17159,All Hands Volunteers,,,437 - International NGO,,,,
904,All India Disaster Mitigation Institute,AIDMI,http://www.aidmi.org,437 - International NGO,,,,
62105,All India Women's Conference (India),AWIC,,441 - National NGO,,,,
62106,All Pakistan Women's Association (Pakistan),,,441 - National NGO,,,,
56800,All We Can,All We Can,http://www.allwecan.org.uk/,437 - International NGO,,,,
62788,"Alliance CoopÃ©rative de DÃ©veloppement, dâ€™Entraide et de SolidaritÃ©",ACDES-Suisse,http://www.acdes-ong.org/,437 - International NGO,,,,
590,Alliance for International Medical Action,ALIMA,http://www.alimaong.org,437 - International NGO,13863,,,
62107,Alliance of Disaster Risk Reduction NGOs,ADRRKG,,441 - National NGO,,,,
62803,Alliance pour la Gestion des Risques et la Continuité des Activités,AGERCA,www.agerca.org,444 - Private sector,,,,
17160,Allied Recovery International,Allied RI,,437 - International NGO,,,,
47811,Almanar Voluntary Organization,AMVO,,441 - National NGO,,,,
62511,Alsalam Organization for Rehabilitation and Development (Sudan),AORD,http://aord.org.sd/new/,441 - National NGO,,,,
62613,Alsaleh Social Foundation For Development,SSFD,,441 - National NGO,,,,
61597,Alseeraj For Development &Healthcare,Alseeraj,alseeraj.net,441 - National NGO,,,,
54829,Alterdev Services Foundation Inc.,Alterdev - Christian Aid,,441 - National NGO,,,,
54745,Alternative Center for Organizational Reform and Development (ACORD) Inc.,ACORD INC,,441 - National NGO,,,,
60835,Alternative Energy Promotion Center - National Rural and  Renewable Energy Programme,AEPC-NRREP,http://www.aepc.gov.np/,443 - Other,,,,
17161,"Alternative Legal Assistance Center, Inc.",ALAC,,441 - National NGO,,,,
56671,Ama Foundation,,http://www.ama-assn.org/ama/pub/about-ama.page?,437 - International NGO,,,,
62109,Amal Charitable Association (Libya),,,441 - National NGO,,,,
61336,AMAN MALAYSIA,AMAN-MA,http://www.amanmalaysia.org/,438 - International Organization,,,,
53119,Amanda Marga Unversal Relief Team,AMURT,,437 - International NGO,,,,
17162,Amani Children's Home,ACH,http://www.amanikids.org/,437 - International NGO,,,,
56672,AMDA MINDS,,http://www.amda-minds.org/english/,437 - International NGO,,,,
62419,AMDAS and Thinking Africa,,,441 - National NGO,,,,
62110,Amel Association (Lebanese association for popular action) (Lebanon),,,441 - National NGO,,,,
61337,American Bar Association,ABA/CEELI,http://www.americanbar.org/aba.html,438 - International Organization,,,,
61338,American Councils for International Education,ACIE,http://www.americancouncils.org/,438 - International Organization,,,,
62078,American Friends Service Committee,AFSC,,437 - International NGO,,,,
56498,American Jewish Joint Distribution Committee,JDC,,437 - International NGO,,,,
61605,American Logistics Aid Network,ALAN,www.ALANAid.org,437 - International NGO,,,,
17163,American Red Cross,ARC,,445 - Red Cross / Red Crescent,,,,
2091,American Refugee Committee,ARC,http://www.arcrelief.org/,437 - International NGO,,,,
17164,AmeriCares,,,443 - Other,,,,
56673,AMICI DEI BAMBINI,,http://www.amicideibambini.it/default_gb.asp,437 - International NGO,,,,
17165,Amihan-Peasant Women,APW,,441 - National NGO,,,,
17166,Amity Volunteers Fire Brigade,,,437 - International NGO,,,,
46565,Amnesty International,,,437 - International NGO,,,,
54790,AMORES,,,441 - National NGO,,,,
52521,Ampath,,http://www.ampathkenya.org/,437 - International NGO,,,,
52522,Amref Health Africa,,http://amref.org/,437 - International NGO,,,,
17167,AMURT Foundation,AMURT,http://www.amurt.net/,437 - International NGO,,,,
47812,Ananda Marga Universal Relief Team,AMURT,http://www.amurt.org,437 - International NGO,,,,
60797,Anchored International Relief,AIR,http://www.anchoredrelief.org/,437 - International NGO,,,,
61195,Andorran Red Cross,,http://www.creuroja.ad/,445 - Red Cross / Red Crescent,,,,
17168,Andres Soriano Foundation,,,443 - Other,,,,
50486,Andrew Lees Trust,ALT,http://www.andrewleestrust.org/ALT-Mg.htm,437 - International NGO,,,,
52523,Anglican Church of Kenya,ACK,http://www.ackenya.org/,446 - Religious,,,,
62903,Anglican Development Services Mt Kenya East (Kenya),ADSMKE,www.adsmke.org,441 - National NGO,,,,
50533,Angola Red Cross,,,445 - Red Cross / Red Crescent,,,,
49426,ANNASRU (Mali),,,441 - National NGO,,,,
62304,Ansari Rehabilitation Association for Afghanistan,ARAA,,441 - National NGO,,,,
61339,Anti-Personnel Mine Ban Convention,AP Mine Ban Convention,http://www.apminebanconvention.org,438 - International Organization,,,,
60834,AOV International,AOV,http://www.aovinternational.net/,444 - Private sector,,,,
56674,APEIRON,,,437 - International NGO,,,,
48574,Aquadev,,http://www.aquadev.org,437 - International NGO,,,,
61340,Arab Bank for Economic Development in Africa,BADEA,http://www.badea.org/index.html,438 - International Organization,,,,
61341,Arab Gulf Programme for United Nations Development Organizations,AGFUND,http://agfund.org/,438 - International Organization,,,,
61342,Arab League,Arab League,http://www.arableagueonline.org/,438 - International Organization,,,,
62384,Arab Reform Initiative,,,441 - National NGO,,,,
62501,Arab Renaissance for Democracy and Development - Legal Aid,ARDD - Legal Aid,http://ardd-jo.org/,437 - International NGO,,,,
62111,Arabian Medical Relief (Jordan),,,441 - National NGO,,,,
2092,Aragti Relief and Development Organization,ARDO,http://aragti.org/,441 - National NGO,,,,
61558,Arbeiter-Samariter-Bund,ASB,https://www.asb.de/de,441 - National NGO,,,,
62372,ARC Operational Development,AOD,http://www.arcoperations.com/,444 - Private sector,,,,
62556,Arche d'alliance,ARAL,,441 - National NGO,,,,
17169,ARCHE NOVA,,https://arche-nova.org/en,437 - International NGO,,,,
62551,arche noVa,,https://arche-nova.org/en,437 - International NGO,,,,
61196,Argentine Red Cross,,http://www.cruzroja.org.ar/,445 - Red Cross / Red Crescent,,,,
63126,Arid And Semi Arid Land For Sustainable Development And Empowerment Programme (Kenya),ASDEP,http://www.asdepke.org/,441 - National NGO,,,,
62606,Arid Lands Development Focus Kenya,ALDEF,http://www.aldefkenya.org/,441 - National NGO,,,,
62112,ARK Cote D'Ivoire (Ivory Coast),,,441 - National NGO,,,,
63022,Armed Conflict Location and Event Data Project,ACLED,http://www.acleddata.com/,431 - Academic / Research,,,,
61197,Armenian Red Cross,,http://www.redcross.am/,445 - Red Cross / Red Crescent,,,,
56044,ARMM-HEART,,,435 - Government,,,,
56045,ARMM-HELPS,,,435 - Government,,,,
54841,Arquediocesis de Cali,,,446 - Religious,,,,
62770,Asamblea de Cooperación por la Paz,ACPP,www.acpp.com,437 - International NGO,,,,
61663,Asas organization,ASAS,http://www.facebook.com/asasorg7,441 - National NGO,,,,
61343,ASEAN Coordinating Centre for Humanitarian Assistance on Disaster Management,AHA Centre,http://www.ahacentre.org/,438 - International Organization,,,,
54598,Asia Humanitarian Organization,AHO,http://www.aho.org.pk,441 - National NGO,,,,
56675,Asia Onlus Nepal,,,437 - International NGO,,,,
56467,Asia Pacific Alliance for Disaster Management,A-PAD,http://apadm.org/,438 - International Organization,,,,
62113,Asia Pacific Refugee Rights Network,APRRN,http://aprrn.info/,443 - Other,,,,
61344,Asia-Europe Meeting,ASEM,http://www.aseminfoboard.org,438 - International Organization,,,,
61346,Asia-Pacific Economic Cooperation,APEC,http://www.apec.org/,438 - International Organization,,,,
17170,Asia-Pacific Humanitarian Partnership,APHP,,438 - International Organization,,,,
17171,Asian Corpse Correspondence,,,440 - Military,,,,
17172,Asian Development Bank,ADB,http://www.adb.org/,438 - International Organization,,,,
905,Asian Disaster Preparedness Center,ADPC,http://www.adpc.net,437 - International NGO,7004,,,
56475,Asian Disaster Reduction and Response Network,ADRRN,www.adrrn.net,443 - Other,,,,
61345,Asian Disaster Reduction Center,ADRC,http://www.adrc.asia/,438 - International Organization,,,,
62114,Asociación de consultores y asesores internacionales (Costa Rica),,,441 - National NGO,,,,
62115,Asociación de Migrantes Nicaragüenses en Costa Rica (Costa Rica),,,441 - National NGO,,,,
54842,Asociación de Víctimas de Pueblos Indígenas de Chocó,ASOVPICH,,441 - National NGO,,,,
62116,Asociación Musulmana de México (Mexico),,,441 - National NGO,,,,
62117,Asociación Nacional de Centros (Peru),,,441 - National NGO,,,,
63059,Asociación para el corredor seco de Nicaragua (NIcaragua),ACOSEN,,441 - National NGO,,,,
56651,asociación probienestar de la familia colombiana -  Profamilia,Profamilia,http://www.profamilia.com/,441 - National NGO,,,,
62118,Asociación Solidaridad Países Emergentes (Peru),ASPE,,441 - National NGO,,,,
61347,Asociation Intervida,Intervida,http://www.intervida.org/somos.aspx,438 - International Organization,,,,
62119,Asonog (Honduras),,,441 - National NGO,,,,
17140,Assessment Capacities Project,ACAPS,http://acaps.org,437 - International NGO,,,,
62766,Asset Africa Institute,AAI,http://www.assetafrica.co.ke/,431 - Academic / Research,,,,
52416,Assistance Coordination Unit (Syria),ACU,,441 - National NGO,,,,
47222,Assistance for Health Education and Development,AHEAD,http://ahead.org.af/,441 - National NGO,,,,
54599,Associate in community development,AICD,,441 - National NGO,,,,
17173,Associated Electric Cooperative,AECI,,437 - International NGO,,,,
62330,Associated Press,AP,www.ap.org,439 - Media,,,,
50388,Associates for International Resources and Development,AIRD,http://www.aird.com,443 - Other,,,,
46566,Association Agropastorale de NDA (Central African Republic),NDA,,441 - National NGO,,,,
62044,Association Burundaise pour le development rural - Face a la malnutrition et la pauvreté,ABDR ASBL,,441 - National NGO,,,,
46567,Association CentrAfricaine pour le Bien-Etre Familial,ACABEF,,441 - National NGO,,,,
49427,Association d'Aide a Gao,AAG,http://www.aide-gao.org,441 - National NGO,,,,
56435,Association de santé familiale,ASF,,441 - National NGO,,,,
62120,Association de Soutien à l'Autopromotion Sanitaire Urbaine (Ivory Coast),ASAPSU,,441 - National NGO,,,,
62725,Association de Soutien au Développement des Activités de Population (Mali),ASDAP,http://www.asdapmali.org/,441 - National NGO,,,,
49428,Association de Tangassame pour le Developpement,,,441 - National NGO,,,,
62848,Association des Ingénieurs pour l'assistance au Développement Rural (Cameroon),AIDER,,441 - National NGO,,,,
46568,Association des Militants (Central African Republic),,,441 - National NGO,,,,
